,PLAN_NO,PLAN_TYPE,YR
18316,LMP41949,Subdivision,1999
18317,LMP41949,Subdivision,1999
18318,LMP41953,Subdivision,1999
18319,LMP4200,Subdivision,1992
18320,LMP42020,Subdivision,1999
18321,LMP4203,Subdivision,1992
18322,LMP42031,Subdivision,1999
18323,LMP42032,Subdivision,1999
18324,LMP42046,Subdivision,1999
18325,LMP42052,Subdivision,1999
18326,LMP4206,Subdivision,1992
18327,LMP4206,Subdivision,1992
18328,LMP4209,Subdivision,1992
18329,LMP4209,Subdivision,1992
18330,LMP42200,Subdivision,1999
18331,LMP42200,Subdivision,1999
18332,LMP42203,Subdivision,1999
18333,LMP42205,Subdivision,1999
18334,LMP42205,Subdivision,1999
18335,LMP42205,Subdivision,1999
18336,LMP42205,Subdivision,1999
18337,LMP42205,Subdivision,1999
18338,LMP42210,Subdivision,1999
18339,LMP42210,Subdivision,1999
18340,LMP42210,Subdivision,1999
18341,LMP42255,Subdivision,1999
18342,LMP42306,Subdivision,1999
18343,LMP42325,Subdivision,1999
