,BARCODE,BED_SOIL_TYPE,BED_TYPE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HORT_MAINTENANCE_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_FACILITY_TYPE,PARK_NAME,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
91,,,,,,,20150710,"Horticulture Beds; Oliver Park, 15958 28 Ave",1001830655,Area 10,15958,,20150710,,south of playground,Parks,,114,,20180404,"Oliver Park, 15958 28 Ave",Park,Parks,,Oliver Park,,114-15,02800,,,OPERATING,,,,,,,
92,,,Mixed, ,,,,"Horticulture Bed; Median, Fraser Hwy - 188 St to 190 St",1001437119,Contract,18800,0,20061110,0708-000001175,on median,Parks,,068,,20121016,"Median, Fraser Hwy - 188 St to 190 St",Median,Parks,,Median - Fraser Hwy - 188 to 190,,068-05,00101,,,OPERATING,20070525074900,,,,,,
93,,,Mixed, ,,,,"Horticulture Bed; Median, Fraser Hwy - 186a St to 188 St",1001437118,Contract,18650,0,20070113,0708-000001176,on median,Parks,,068,,20121016,"Median, Fraser Hwy - 186a St to 188 St",Median,Parks,,Median - Fraser Hwy - 186a to 188,,068-04,00101,,,OPERATING,20070525075300,,,,,,
94,,,Woody,,,,,"Horticultural Bed; Median, King George Blvd - 32 Ave to 32A Ave",1001717052,Area 8,03200,,20130101,,on median,Parks,,103,,20130717,"Median, King George Blvd - 32 Ave to 32A Ave",Median,Parks,,Median - KGBlvd - 32 Ave to 32A Ave,,103-08,13601,,,OPERATING,,,,,,,
95,,,Woody,,,,,"Horticulture Bed; Median, King George Blvd - 33 Ave to 34 Ave",1001717054,Area 8,03300,,20130301,,on median,Parks,,103,,20130717,"Median, King George Blvd - 33 Ave to 34 Ave",Median,Parks,,Median - KGBlvd - 33 Ave to 34 Ave,,103-10,13601,,,OPERATING,,,,,,,
96,,,Woody,,,,,"Horticultural Bed; Median, 32A Ave - 147 St to King George Boulevard",1001717053,Area 8,14700,,20130301,,on median,Parks,,103,,20130717,"Median, 32A Ave - 147 St to KGBlvd",Median,Parks,,Median - 32A Ave - 147 St to KGBlvd,,103-09,03250,,,OPERATING,,,,,,,
97,,,,,,,20150524,"Horticulture Beds; South Surrey Athletic Park, 1925 148 St",1001879218,Area 10,01925,,20150523,,around softball city fields,Parks,,123,,,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,,123-56,14800,,,OPERATING,,,,,,,
98,,,Woody - C, ,,,20170106,"Horticulture Bed; Island, 14600 20 Ave",1001901433,Area 9,14600,0,20060615,1001436752,entire island,Parks,,123,,20170106,Island - 14600 20 Ave,Island,Parks,,Island - 14600 20 Ave,,123-49,02000,,,OPERATING,20061107155500,,,,,,
99,,,Mixed, ,,,20170106,"Horticulture Beds; RCMP Headquarters Grounds, 14355 57 Ave",1001901437,Area 8,14355,0,,1001437211,throughout grounds around parking areas and building foundation,Parks,,072,,20170106,"RCMP Headquarters Grounds, 14355 57 Ave",Land,Parks,,RCMP Headquarters Grounds,,072-11,05700,,,OPERATING,20090302085200,,,,,,
100,,,Mixed, ,,,20170106,"Horticulture Beds; RCMP Headquarters Grounds, 14355 57 Ave",1001901438,Area 8,14355,0,,1001437211,throughout grounds around parking areas and building foundation,Parks,,072,,20170106,"RCMP Headquarters Grounds, 14355 57 Ave",Land,Parks,,RCMP Headquarters Grounds,,072-11,05700,,,OPERATING,20090302085200,,,,,,
101,,,Mixed, ,,,20170106,"Horticulture Beds; RCMP Headquarters Grounds, 14355 57 Ave",1001901439,Area 8,14355,0,,1001437211,throughout grounds around parking areas and building foundation,Parks,,072,,20170106,"RCMP Headquarters Grounds, 14355 57 Ave",Land,Parks,,RCMP Headquarters Grounds,,072-11,05700,,,OPERATING,20090302085200,,,,,,
102,,,Mixed, ,,,20170106,"Horticulture Beds; RCMP Headquarters Grounds, 14355 57 Ave",1001901440,Area 8,14355,0,,1001437211,throughout grounds around parking areas and building foundation,Parks,,072,,20170106,"RCMP Headquarters Grounds, 14355 57 Ave",Land,Parks,,RCMP Headquarters Grounds,,072-11,05700,,,OPERATING,20090302085200,,,,,,
103,,,Mixed, ,,,20170106,"Horticulture Beds; RCMP Headquarters Grounds, 14355 57 Ave",1001901441,Area 8,14355,0,,1001437211,throughout grounds around parking areas and building foundation,Parks,,072,,20170106,"RCMP Headquarters Grounds, 14355 57 Ave",Land,Parks,,RCMP Headquarters Grounds,,072-11,05700,,,OPERATING,20090302085200,,,,,,
104,,,Mixed, ,,,20170106,"Horticulture Beds; RCMP Headquarters Grounds, 14355 57 Ave",1001901442,Area 8,14355,0,,1001437211,throughout grounds around parking areas and building foundation,Parks,,072,,20170106,"RCMP Headquarters Grounds, 14355 57 Ave",Land,Parks,,RCMP Headquarters Grounds,,072-11,05700,,,OPERATING,20090302085200,,,,,,
105,,,Mixed, ,,,20170106,"Horticulture Beds; RCMP Headquarters Grounds, 14355 57 Ave",1001901443,Area 8,14355,0,,1001437211,throughout grounds around parking areas and building foundation,Parks,,072,,20170106,"RCMP Headquarters Grounds, 14355 57 Ave",Land,Parks,,RCMP Headquarters Grounds,,072-11,05700,,,OPERATING,20090302085200,,,,,,
106,,,Mixed, ,,,20170106,"Horticulture Beds; RCMP Headquarters Grounds, 14355 57 Ave",1001901445,Area 8,14355,0,,1001437211,throughout grounds around parking areas and building foundation,Parks,,072,,20170106,"RCMP Headquarters Grounds, 14355 57 Ave",Land,Parks,,RCMP Headquarters Grounds,,072-11,05700,,,OPERATING,20090302085200,,,,,,
107,,,,,,,,Bed # 1; Darts Hill Garden Park,1001437429,Area 11,01660,,,0750-000000001,,Parks,,126,,20121016,Bed # 1; Darts Hill Garden Park,Hort Zone,Parks,,,,1,16800,,,OPERATING,,,,,,,
108,,,,,,,,Bed # 4; Darts Hill Garden Park,1001437432,Area 11,01660,,,0750-000000006,,Parks,,126,,20121016,Bed # 4; Darts Hill Garden Park,Hort Zone,Parks,,,,4,16800,,,OPERATING,,,,,,,
109,,,,,,,,Bed # 5; Darts Hill Garden Park,1001437435,Area 11,01660,,,0750-000000008,,Parks,,126,,20121016,Bed # 5; Darts Hill Garden Park,Hort Zone,Parks,,,,5,16800,,,OPERATING,,,,,,,
110,,,,,,,,Bed # C3; Darts Hill Garden Park,1001437436,Area 11,01660,,,0750-000000009,,Parks,,126,,20121016,Bed # C3; Darts Hill Garden Park,Hort Zone,Parks,,,,C3,16800,,,OPERATING,,,,,,,
111,,,,,,,,Bed # 6; Darts Hill Garden Park,1001437439,Area 11,01660,,,0750-000000017,,Parks,,126,,20121016,Bed # 6; Darts Hill Garden Park,Hort Zone,Parks,,,,6,16800,,,OPERATING,,,,,,,
112,,,,,,,,Bed # 8; Darts Hill Garden Park,1001437440,Area 11,01660,,,0750-000000011,,Parks,,126,,20121016,Bed # 8; Darts Hill Garden Park,Hort Zone,Parks,,,,8,16800,,,OPERATING,,,,,,,
113,,,,,,,,Bed # 10; Darts Hill Garden Park,1001437441,Area 11,01660,,,0750-000000013,,Parks,,126,,20121016,Bed # 10; Darts Hill Garden Park,Hort Zone,Parks,,,,10,16800,,,OPERATING,,,,,,,
114,,,,,,,,Bed # 11; Darts Hill Garden Park,1001437442,Area 11,01660,,,0750-000000014,,Parks,,126,,20121016,Bed # 11; Darts Hill Garden Park,Hort Zone,Parks,,,,11,16800,,,OPERATING,,,,,,,
115,,,Mixed,,,,20171103,"Horticulture Bed; Cloverdale Mini Rec Centre Grounds, 17635 58 Ave",1001953768,Area 9,17635,,20171104,,around building,Parks,,077,,20171103,"Cloverdale Mini Rec Centre Grounds, 17635 58 Ave",Land,Parks,,"Cloverdale Mini Rec Centre Grounds, 17635 58 Ave",,077-39,05800,,,OPERATING,,,,,,,
116,,,,,,,20180206,Bed # 7w; Darts Hill Garden Park,1001982862,Area 11,01660,,,1001437438,,Parks,,126,,20180206,Bed # 7w; Darts Hill Garden Park,Hort Zone,Parks,,,,7w,16800,,,OPERATING,,,,,,,
117,,,Mixed, ,,,,"Horticulture Bed; Blvd, 176 St - 57 Ave to 58 Ave - W side",1001437053,Area 9,05701,0,,0708-000000148,On blvd,Parks,,076,,20160818,"Blvd, 176 St - 57 Ave to 58 Ave - W side",Boulevard,Parks,,Blvd - 176 St - 57 to 58 - W side,,076-08,17600,,,OPERATING,,,,,,,
118,,,,,,,20160818,Katzie Park,1001887474,Area 7,,,,1001717084,,,,069,,20160818,"Katzie Park, 19373 68 Ave",Park,,,Katzie Park,,069-03,,,,OPERATING,,,,,,,
119,,,Mixed,,,,20170127,"Horticulture Bed; South Surrey Athletic Park, 1925 148 St",1001904550,Area 10,01925,,20160411,1001869134,Softball City Grounds,Parks,,123,,20170127,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,,123-58,14800,,,OPERATING,,,,,,,
120,,,,,,,,Bed # C4; Darts Hill Garden Park,1001437461,Area 11,01660,,,0750-000000034,,Parks,,126,,20180206,Bed # C4; Darts Hill Garden Park,Hort Zone,Parks,,,,C4,16800,,,OPERATING,,,,,,,
121,,,,,,,,Bed # C1; Darts Hill Garden Park,1001437459,Area 11,01660,,,0750-000000032,,Parks,,126,,20180206,Bed # C1; Darts Hill Garden Park,Hort Zone,Parks,,,,C1,16800,,,OPERATING,,,,,,,
122,,,,,,,,Bed # 7e; Darts Hill Garden Park,1001437438,Area 11,01660,,,0750-000000016,,Parks,,126,,20180206,Bed # 7e; Darts Hill Garden Park,Hort Zone,Parks,,,,7e,16800,,,OPERATING,,,,,,,
123,,,,,,,,Bed # 7s; Darts Hill Garden Park,1001437437,Area 11,01660,,,0750-000000010,,Parks,,126,,20180206,Bed # 7s; Darts Hill Garden Park,Hort Zone,Parks,,,,7s,16800,,,OPERATING,,,,,,,
124,,,Mixed, ,,,20100319,"Horticulture Beds; Darts Hill Garden Park, 1660 168 St",1001437380,Area 11,01660,0,,0708-000001297,all beds inside fence,Parks,,126,,20180206,"Darts Hill Garden Park, 1660 168 St",Park,Parks,,Darts Hill Garden Park,,126-07,16800,,,OPERATING,20100319101000,,,,,,
125,,,,,,,20180206,Bed # 38w; Darts Hill Garden Park,1001982866,Area 11,01660,,,,,Parks,,126,,20180206,Bed # 38w; Darts Hill Garden Park,Hort Zone,Parks,,,,38w,16800,,,OPERATING,,,,,,,
126,,,,,,,,Bed # 29; Darts Hill Garden Park,1001437465,Area 11,01660,,,0750-000000039,,Parks,,126,,20180206,Bed # 29; Darts Hill Garden Park,Hort Zone,Parks,,,,29,16800,,,OPERATING,,,,,,,
127,,,,,,,,Bed # 23; Darts Hill Garden Park,1001437458,Area 11,01660,,,0750-000000031,,Parks,,126,,20180206,Bed # 23; Darts Hill Garden Park,Hort Zone,Parks,,,,23,16800,,,OPERATING,,,,,,,
128,,,,,,,,Bed # 16e; Darts Hill Garden Park,1001437449,Area 11,01660,,,0750-000000023,,Parks,,126,,20180206,Bed # 16b; Darts Hill Garden Park,Hort Zone,Parks,,,,16e,16800,,,OPERATING,,,,,,,
129,,,Woody - C,,,,20160111,"Horticulture Bed; Island, 2323 130a St",1001852958,Area 9,02323,,20160111,,bed on island,Parks,,121,,20160111,Island - 2323 130a St,Island,Parks,,Island - 2323 130a St,,121-38,13050,,,OPERATING,,,,,,,
130,,,Simple, ,,,20160411,"Horticulture Beds; Cloverdale Recreation Centre Grounds, 6188 176 St",1001869196,Area 7,06188,0,,1001844910,throughout parking lot,Parks,,077,,20160411,"Cloverdale Recreation Centre Grounds, 6188 176 St",Land,Parks,,Cloverdale Recreation Centre Grounds,,077-32,17600,,,OPERATING,20111124150800,,,,,,
131,,,Annual, ,,,,"Sign Display Bed; Blvd, KGBlvd Patullo offramp - S side",1001436865,Area 2,12400,0,,0708-000000749,Blvd on S side of KGBlvd just as you come off the bridge,Parks,,010,,20160411,"Blvd, KGBlvd Patullo offramp - S side",Boulevard,Parks,,Blvd - KGBlvd Patullo Offramp - S side,,010-01,13601,,,OPERATING,,,,,,,
132,,,Woody, ,,,20080226,"Horticulture Bed; Blvd, Old Yale Rd - South Fraser Way to Scott Rd - S side",1001437153,Area 3,12050,0,19950101,0708-000001210,blvd on S side of Old Yale Rd,Parks,,010,,20121016,"Blvd, Old Yale Rd - South Fraser Way to Scott Rd - S side",Boulevard,Parks,,Blvd - Old Yale Rd - S Fraser to Scott - S side,,010-06,80103,,,OPERATING,20080226085200,,,,,,
133,,,Woody, ,,,20080226,"Horticulture Bed; Blvd, Old Yale Rd - Portage Rd to Olsen Rd - S side",1001437154,Area 3,11900,0,19950101,0708-000001211,blvd on S side of Old Yale Rd,Parks,,009,,20121016,"Blvd, Old Yale Rd - Portage Rd to Olsen Rd - S side",Boulevard,Parks,,Blvd - Old Yale Rd - Portage to Olsen - S side,,009-01,80103,,,OPERATING,20080226090400,,,,,,
134,,,Woody,,,,20151116,"Horticulture Bed; Median, Old Yale Rd - 132 St to 133 St",1001847125,Contract,13200,,,,On median,Parks,,021,,20151116,"Median, Old Yale Rd - 132 St to 133 St",Median,Parks,,Median - Old Yale Rd - 132 to 133 St,,021-31,80103,,,OPERATING,,,,,,,
135,,,Perennial, ,,,,"Horticulture Bed; Median, Old Yale Rd - 133 St to University Drive",1001436896,Contract,13300,0,20151116,0708-000000471,On median,Parks,,021,,20151116,"Median, Old Yale Rd - 133 St to University Drive",Median,Parks,,Median - Old Yale Rd - 133 to University Dr,,021-06,80103,,,OPERATING,,,,,,,
136,,,Mixed, ,,,20101221,"Horticulture Beds; Newton Athletic Park, 7395 128 St",1001437405,Area 3,07395,0,20101030,0708-000001322,around perimeter of synthetic field #1,Parks,,050,,20160610,"Newton Athletic Park, 7395 128 St",Park,Parks,,Newton Athletic Park,,050-08,12800,,,OPERATING,20101221114200,,,,,,
137,,,Mixed,,,,20131104,"Horticulture Beds; Newton Athletic Park, 7395 128 St",1001717540,Area 3,07395,,20131104,,between synthetic field #1 and #2 north side,,,050,,20160610,"Newton Athletic Park, 7395 128 St",Park,,,Newton Athletic Park,,050-09,12800,,,OPERATING,,,,,,,
138,,,Mixed,,,,20131104,"Horticulture Beds; Newton Athletic Park, 7395 128 St",1001717557,Area 3,07395,,20131104,,south west corner of parking lot,Parks,,050,,20160610,"Newton Athletic Park, 7395 128 St",Park,Parks,,Newton Athletic Park,,050-10,12800,,,OPERATING,,,,,,,
139,,,,,,,20140114,"Horticulture Beds; Newton Athletic Park, 7395 128 St",1001724021,Area 3,07395,,20131117,,throughout parking lot1,,,050,,20160610,"Newton Athletic Park, 7395 128 St",Park,,,Newton Athletic Park,,050-11,12800,,,OPERATING,,,,,,,
140,,,Mixed, ,,,20170106,"Horticulture Beds; RCMP Headquarters Grounds, 14355 57 Ave",1001901446,Area 8,14355,0,,1001437211,throughout grounds around parking areas and building foundation,Parks,,072,,20170106,"RCMP Headquarters Grounds, 14355 57 Ave",Land,Parks,,RCMP Headquarters Grounds,,072-11,05700,,,OPERATING,20090302085200,,,,,,
141,,,,,,,20150316,"Horticulture Beds; Newton Athletic Park, 7395 128 St",1001879219,Area 3,07395,,20150316,,throughout parking lot2,PARKS,,050,,20160610,"Newton Athletic Park, 7395 128 St",Park,PARKS,,Newton Athletic Park,,050-12,12800,,,OPERATING,,,,,,,
142,,,Mixed, ,,,20170106,"Horticulture Beds; RCMP Headquarters Grounds, 14355 57 Ave",1001901447,Area 8,14355,0,,1001437211,throughout grounds around parking areas and building foundation,Parks,,072,,20170106,"RCMP Headquarters Grounds, 14355 57 Ave",Land,Parks,,RCMP Headquarters Grounds,,072-11,05700,,,OPERATING,20090302085200,,,,,,
143,,,Woody, ,,,,"Horticulture Bed; Blvd, 144 St - 8300 blk",1001436852,Area 5,08300,0,20040514,0708-000000561,"on frontage rd, southeast corner of intersection",Parks,,043,,20160815,"Blvd, 144 St - 8300 blk",Boulevard,Parks,,Blvd - 8300 blk 144 St - E side,,043-08,14400,,,OPERATING,20051028142200,,,,,,
144,,,,,,,,Bed # 12; Darts Hill Garden Park,1001437443,Area 11,01660,,,0750-000000015,,Parks,,126,,20121016,Bed # 12; Darts Hill Garden Park,Hort Zone,Parks,,,,12,16800,,,OPERATING,,,,,,,
145,,,,,,,,Bed # 13; Darts Hill Garden Park,1001437444,Area 11,01660,,,0750-000000018,,Parks,,126,,20121016,Bed # 13; Darts Hill Garden Park,Hort Zone,Parks,,,,13,16800,,,OPERATING,,,,,,,
146,,,,,,,,Bed # 14; Darts Hill Garden Park,1001437445,Area 11,01660,,,0750-000000019,,Parks,,126,,20121016,Bed # 14; Darts Hill Garden Park,Hort Zone,Parks,,,,14,16800,,,OPERATING,,,,,,,
147,,,Woody - C, ,,,20091221,"Beds of Bushes; Boundary Park, 6058 - Boundary Dr West",1001437327,Area 8,06058,0,,0708-000000523,Surrounding Pond,Parks,,070,,20160412,"Boundary Park, 6058 Boundary Dr West",Park,Parks,,Boundary Park,,070-26,12155,,,OPERATING,,,,,,,
148,,,,,,,,Bed # 27; Darts Hill Garden Park,1001437464,Area 11,01660,,,0750-000000037,,Parks,,126,,20121016,Bed # 27; Darts Hill Garden Park,Hort Zone,Parks,,,,27,16800,,,OPERATING,,,,,,,
149,,,Woody - C, ,,,,Horticulture Beds; Walkway - 12227 Northpark Cres,1001437019,Area 8,12227,0,,0708-000000470,In walkway,Parks,,070,,20160412,Walkway - 12227 Northpark Cres,Walkway,Parks,,Walkway - 12227 Northpark Cr,,070-08,06125,,,OPERATING,,,,,,,
150,,,Woody - C, ,,,20090226,Horticulture Beds; Walkway - 6047 Southpark Pl,1001437192,Area 8,06047,0,,0708-000001243,along walkway from Southpark Pl to Boundary Dr S @ 124 St,Parks,,070,,20160412,Walkway - 6047 Southpark Pl,Walkway,Parks,,Walkway - 6047 Southpark Pl,,070-23,12325,,,OPERATING,20090226085000,,,,,,
151,,,,,,,,Bed # 17; Darts Hill Garden Park,1001437450,Area 11,01660,,,0750-000000024,,Parks,,126,,20121016,Bed # 17; Darts Hill Garden Park,Hort Zone,Parks,,,,17,16800,,,OPERATING,,,,,,,
152,,,,,,,,Bed # 18; Darts Hill Garden Park,1001437451,Area 11,01660,,,0750-000000025,,Parks,,126,,20121016,Bed # 18; Darts Hill Garden Park,Hort Zone,Parks,,,,18,16800,,,OPERATING,,,,,,,
153,,,,,,,,Bed # 19; Darts Hill Garden Park,1001437452,Area 11,01660,,,0750-000000026,,Parks,,126,,20121016,Bed # 19; Darts Hill Garden Park,Hort Zone,Parks,,,,19,16800,,,OPERATING,,,,,,,
154,,,,,,,,Bed # 20; Darts Hill Garden Park,1001437453,Area 11,01660,,,0750-000000027,,Parks,,126,,20121016,Bed # 20; Darts Hill Garden Park,Hort Zone,Parks,,,,20,16800,,,OPERATING,,,,,,,
155,,,,,,,,Bed # 21; Darts Hill Garden Park,1001437456,Area 11,01660,,,0750-000000029,,Parks,,126,,20121016,Bed # 21; Darts Hill Garden Park,Hort Zone,Parks,,,,21,16800,,,OPERATING,,,,,,,
156,,,Woody - C, ,,,20091221,"Horticulture Bed; Boundary Park, 6058 - Boundary Dr West",1001437326,Area 8,06058,0,,0708-000000033,Surrounding Park Sign At Boundary Dr.W.,Parks,,070,,20160412,"Boundary Park, 6058 Boundary Dr West",Park,Parks,,Boundary Park,,070-25,12155,,,OPERATING,,,,,,,
157,,,,,,,,Bed # 22; Darts Hill Garden Park,1001437457,Area 11,01660,,,0750-000000030,,Parks,,126,,20121016,Bed # 22; Darts Hill Garden Park,Hort Zone,Parks,,,,22,16800,,,OPERATING,,,,,,,
158,,,Woody,,,,20130417,"Horticulture Bed; Poplar Park, 13074 - 112 Ave",1001592502,Area 3,13074,,20130417,,"North side of park, next to engineering storage area",Parks,,011,,20151028,"Poplar Park, 13074 - 112 Ave",Park,Parks,,Poplar Park,,011-16,11200,,,OPERATING,,,,,,,
159,,,Mixed,,,,20151028,"Horticulture Bed; Blvd, 13374 King George Blvd",1001845134,Contract,13374,,20151028,,corner of lot,Park,,011,,20151028,"Blvd, 13374 King George Blvd",Boulevard,Park,,Blvd - 13374 King George Blvd,,011-17,13402,,,OPERATING,,,,,,,
160,,,Woody,Planted evergreen,,,20160504,"Horticulture Beds; Lionel Courchene Park, 9900 - 154 St",1001874602,Area 2,09900,,20160405,,Adjacent to Concession,Parks,,024,,20160504,"Lionel Courchene Park, 9900 154 St",Park,Parks,,Lionel Courchene Park,,024-14,15400,,,OPERATING,,,,,,,
161,,,Woody,Planted Berberis Hedge on slope,,,20160504,"Horticulture Beds; Lionel Courchene Park, 9900 - 154 St",1001874606,Area 2,09900,,20160405,,Adjacent to Concession,Parks,,024,,20160504,"Lionel Courchene Park, 9900 154 St",Park,Parks,,Lionel Courchene Park,,024-13,15400,,,OPERATING,,,,,,,
162,,,Woody,,,,20160609,Horticulture Bed; Island - 5400 125A St,1001880078,Area 9,05400,,20160809,,island at 125A St and Station Rd,Parks,,080,,20160609,Island - 5400 125A St,Island,Parks,,Island - 5400 125A St,,080-01,12550,,,OPERATING,,,,,,,
163,,,Woody - C, ,,,,"Horticulture Bed; Median, Morgan Creek Way - 32 Ave to Canterbury Dr",1001436509,Area 9,03225,0,,0708-000000201,Entire Median,Private,,104,,20160726,"Median, Morgan Creek Way - 32 Ave to Canterbury Dr",Median,Parks,,Median - Morgan Creek Way - 32 to Canterbury Dr,,104-01,16005,,,OPERATING,,,,,,,
164,,,Mixed, ,,,,"Horticulture Bed; Median, King George Blvd - 33 Ave to 34 Ave",1001436537,Area 8,03300,0,20050407,0708-000001118,on median,Parks,,103,,20160726,"Median, King George Blvd - 33 Ave to 34 Ave",Median,Parks,,Median - KGBlvd - 33 Ave to 34 Ave,,103-01,13601,,,OPERATING,20051019150400,,,,,,
165,,,Woody - C, ,,,20090225,"Horticulture Bed; Beaver Creek Heights Park, 6722 122A St",1001437181,Area 3,06722,0,,0708-000000798,NW area of Park,Parks,,060,,20121016,"Beaver Creek Heights Park, 6722 122A St",Park,Parks,,Beaver Creek Heights Park,,060-03,12250,,,OPERATING,,,,,,,
166,,,Woody - C, ,,,20090225,"Horticulture Bed; Beaver Creek Park, 12270 66 Ave",1001437182,Area 3,12270,0,,0708-000000636,Surrounding Park Sign At 66 Ave Entrance,Parks,,060,,20121016,"Beaver Creek Park, 12270 66 Ave",Park,Parks,,Beaver Creek Park,,060-05,06600,,,OPERATING,,,,,,,
167,,,Woody - C, ,,,20090225,"Horticulture Beds; Hayle Place Park - 61B, 6996 - Hayle Pl",1001437183,Area 3,06996,0,,0708-000000608,N. Edge Of Site,Parks,,061,,20121016,"Hayle Place Park, 6996 Hayle Pl",Park,Parks,,Hayle Place Park,,061-16,13045,,,OPERATING,,,,,,,
168,,,Woody - C, ,,,20090225,"Horticulture Bed; M.J. Norris Park, 6539 - 129A St",1001437184,Area 3,06539,0,,0708-000000050,Around Parksite Sign At 128A St Entrance,Parks,,061,,20121016,"M.J. Norris Park, 6539 129A St",Park,Parks,,M.J. Norris Park,,061-17,12950,,,OPERATING,,,,,,,
169,,,Woody - A/B, ,,,20090225,"Horticulture Beds; Unwin Park, 13313 68 Ave",1001437186,Area 3,13313,0,,0708-000000620,bed in large 68 Ave parking lot,Parks,,061,,20121016,"Unwin Park, 13313 68 Ave",Park,Parks,,Unwin Park,,061-19,06800,,,OPERATING,,,,,,,
170,,,Woody - A/B,"Cedar, Oregon Grape",,,20090226,"Horticulture Bed; Unwin Park, 13313 68 Ave",1001437188,Area 3,13313,0,,0708-000000849,69 Ave & 134 St Parking Lot,Parks,,061,,20121016,"Unwin Park, 13313 68 Ave",Park,Parks,,Unwin Park,,061-20,06800,,,OPERATING,,,,,,,
171,,,Woody, ,,,20090309,"Horticulture Beds; 33C - Tot-Lot, 14484 91 Ave",1001437243,Area 5,14484,0,,0708-000000062,Around Perimeter Of Site,Parks,,033,,20160815,"33C - Tot-Lot, 14484 91 Ave",Park,Parks,,33C - Tot Lot,,033-06,09100,,,OPERATING,,,,,,,
172,,,,,,,20150409,"Horticulture Bed; Island, 16187 8a Ave",1001879232,Area 9,16187,,,,Entire island,Parks,,135,,,Island - 16187 8a Ave,Island,Parks,,Island - 16187 8a Ave,,135-10,00850,,,OPERATING,,,,,,,
173,,,,,,,20150409,"Horticulture Bed; Island, 2839 130 St",1001879225,Area 9,02839,,,,bed on island,Parks,,111,,,Island - 2839 130 St,Island,Parks,,Island - 2839 130 St,,111-11,13000,,,OPERATING,,,,,,,
