,BY_LAW_01,BY_LAW_02,BY_LAW_03,BY_LAW_04,CRE_DATE,LOT_TYPE,MOD_DATE,WEBLINK,ZONING,ZONING_TEXT
449,B/L 13285,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
450,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RM15,Multiple Residential 15 Zone,RM-15
451,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RF,Single Family Residential Zone,RF
452,B/L 15235,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
453,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=PA2,Assembly Hall 2 Zone,PA-2
454,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=PA1,Assembly Hall 1 Zone,PA-1
455,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RFSS,Single Family Residential Secondary Suite Zone,RF-SS
456,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RMS2,Special Care Housing 2 Zone,RMS-2
457,B/L 10580,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
458,B/L 13163,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
459,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=PA2,Assembly Hall 2 Zone,PA-2
460,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=A1,General Agricultural Zone,A-1
461,,,,,,,20131126,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RA,One Acre Residential Zone,RA
462,,,,,,,20131218,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CHI,Highway Commercial Industrial Zone,CHI
463,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RA,One Acre Residential Zone,RA
464,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RM10,Multiple Residential 10 Zone,RM-10
465,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=A2,Intensive Agricultural Zone,A-2
466,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RF,Single Family Residential Zone,RF
467,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RFG,Single Family Residential Gross Density Zone,RF-G
468,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RF,Single Family Residential Zone,RF
